,uci,paysim,ieee
rows,30000.0,1048575.0,590540.0
features,23.0,13.0,431.0
pos_rate,0.2212,0.0010890971079798775,0.03499000914417313
imbalance_ratio,3.520795660036166,917.19176882662,27.579586700866283
cols_any_missing,0.0,0.0,414.0
cols_over_50pct_missing,0.0,0.0,214.0
mean_missing_rate,0.0,0.0,0.4538811463368656
entities,30000.0,1048317.0,199740.0
median_events_per_entity,1.0,1.0,1.0
p95_events_per_entity,1.0,1.0,9.0
single_event_entities_pct,1.0,0.9997538912370971,0.5808851506959046
n_train,21000.0,734002.0,413378.0
n_val,4500.0,157286.0,88581.0
n_test,4500.0,157287.0,88581.0
median_gap,,14.5,263433.0
p95_gap,,34.0,3974276.2999999924
