dataset,model,imbalance,auroc,auprc,f1,recall,precision,recall_at_p50,threshold
uci,logreg,plain,0.7197084571161357,0.4961449113156316,0.5044666316342618,0.4819277108433735,0.5292171995589857,0.5170682730923695,0.2853736281394958
uci,logreg,class_weight,0.7211505840714456,0.4944399225007603,0.5005347593582887,0.4698795180722891,0.5354691075514875,0.5100401606425703,0.582284152507782
uci,mlp,plain,0.7728167235150647,0.5497233032000308,0.5429389312977099,0.571285140562249,0.5172727272727272,0.5803212851405622,0.2784119546413421
uci,mlp,class_weight,0.7711892088903558,0.5391908036266359,0.530241935483871,0.5281124497991968,0.5323886639676113,0.572289156626506,0.6053220629692078
uci,mlp,smote,0.7644900377766776,0.5401604599544926,0.5267489711934156,0.5140562248995983,0.540084388185654,0.5682730923694779,0.5979924201965332
uci,mlp,focal_g1,0.7695894880893438,0.5467194538830589,0.5323886639676114,0.5281124497991968,0.536734693877551,0.571285140562249,0.2583155930042267
uci,mlp,focal_g2,0.7768718996992536,0.5547914384486213,0.5408366533864543,0.5451807228915663,0.5365612648221344,0.5903614457831325,0.323280394077301
uci,mlp,focal_g5,0.7664463504703747,0.5336483150527551,0.5288912024986986,0.5100401606425703,0.5491891891891892,0.5582329317269076,0.4251676499843597
uci,xgboost,plain,0.7774229050906823,0.5520582375860168,0.5375874125874126,0.6174698795180723,0.4760061919504644,0.5973895582329317,0.2248713076114654
uci,xgboost,class_weight,0.7811919768113551,0.5557455092567934,0.5454545454545455,0.608433734939759,0.4942903752039151,0.5953815261044176,0.5108388066291809
uci,xgboost,smote,0.7826408373218903,0.5605885101445218,0.5473233404710921,0.641566265060241,0.4772218073188947,0.6014056224899599,0.2515779435634613
ieee,logreg,plain,0.8636561066291523,0.4760655584196774,0.4651162790697674,0.3710874475637302,0.6229685807150596,0.4378831881252016,0.2453343123197555
ieee,logreg,class_weight,0.8694771060724397,0.4530093713952886,0.4465627864344638,0.3930300096805421,0.5169779286926995,0.4027105517909003,0.8790074586868286
ieee,mlp,plain,0.9395670983542338,0.718628860183628,0.6865162146785511,0.5840593739916102,0.8325666973321068,0.723459180380768,0.3621284961700439
ieee,mlp,class_weight,0.9373784463371266,0.684300211598079,0.6517857142857143,0.5888996450467893,0.7297081167532987,0.70216198773798,0.9158018231391908
ieee,mlp,smote,0.9366363303302084,0.7121943654562443,0.6856725146198831,0.6053565666343982,0.7905604719764012,0.7170054856405292,0.5886808633804321
ieee,mlp,focal_g1,0.9382655405851914,0.7169003832913692,0.6902950454629802,0.6001936108422071,0.8122270742358079,0.7153920619554696,0.26894211769104
ieee,mlp,focal_g2,0.9387315879124823,0.7117947481295379,0.6780923994038748,0.5872862213617296,0.8021154693697664,0.7134559535333979,0.3629286885261535
ieee,mlp,focal_g5,0.9392776005204932,0.7106887775413164,0.6730843280708511,0.5640529202968699,0.8343675417661098,0.7163601161665053,0.4328387081623077
ieee,xgboost,plain,0.9681573805358872,0.8256024451461592,0.7805405405405406,0.6989351403678606,0.8837209302325582,0.8383349467570184,0.2628417611122131
ieee,xgboost,class_weight,0.968932336156638,0.8136249101100889,0.7607604017216643,0.6844143272023233,0.8562777553492128,0.8312358825427557,0.7807068824768066
ieee,xgboost,smote,0.96656056257084,0.8146218047212017,0.7698495977614551,0.7102291061632785,0.8403970981290569,0.8283317199096483,0.2221312969923019
paysim,logreg,plain,0.9771243327173328,0.6021350413920717,0.5957446808510638,0.4883720930232558,0.7636363636363637,0.5988372093023255,0.2852998077869415
paysim,logreg,class_weight,0.9890163959298072,0.5181094852676722,0.5128205128205128,0.4651162790697674,0.5714285714285714,0.5348837209302325,0.9981659054756165
paysim,mlp,plain,0.9902081056018072,0.8343856308440223,0.7916666666666666,0.6627906976744186,0.9827586206896552,0.8546511627906976,0.4477926790714264
paysim,mlp,class_weight,0.9912962028258075,0.7143765690434623,0.6915254237288136,0.5930232558139535,0.8292682926829268,0.7151162790697675,0.9955205917358398
paysim,mlp,smote,0.9938413130953552,0.8863887714677487,0.8814589665653495,0.8430232558139535,0.9235668789808916,0.8837209302325582,0.9747214913368224
paysim,mlp,focal_g1,0.9885790958925804,0.8184866909018529,0.7746478873239436,0.6395348837209303,0.9821428571428572,0.8313953488372093,0.3459663391113281
paysim,mlp,focal_g2,0.9919861322139242,0.8132189833965855,0.7843137254901962,0.6976744186046512,0.8955223880597015,0.8197674418604651,0.3139695525169372
paysim,mlp,focal_g5,0.988294938753942,0.7791101108435889,0.75177304964539,0.6162790697674418,0.9636363636363636,0.7906976744186046,0.4071133136749267
paysim,xgboost,plain,0.9938397034019666,0.9798549356974512,0.9792284866468844,0.9593023255813954,1.0,0.9825581395348836,0.598522961139679
paysim,xgboost,class_weight,0.9941026939976568,0.9791566222175904,0.9822485207100592,0.9651162790697676,1.0,0.9825581395348836,0.6341556310653687
paysim,xgboost,smote,0.9971019968338996,0.9813529871186776,0.9852507374631267,0.9709302325581396,1.0,0.9825581395348836,0.4799551367759704
