dataset,model,imbalance,d_auprc,d_recall,d_f1,d_recall_at_p50
uci,logreg,plain,0.0,0.0,0.0,0.0
uci,logreg,class_weight,-0.0017049888148713,-0.012048192771084376,-0.003931872275973025,-0.007028112449799173
uci,mlp,plain,0.0,0.0,0.0,0.0
uci,mlp,class_weight,-0.010532499573394971,-0.04317269076305219,-0.012696995813838874,-0.008032128514056214
uci,mlp,smote,-0.009562843245538244,-0.05722891566265065,-0.0161899601042943,-0.012048192771084376
uci,mlp,focal_g1,-0.0030038493169719516,-0.04317269076305219,-0.01055026733009845,-0.009036144578313254
uci,mlp,focal_g2,0.005068135248590511,-0.026104417670682722,-0.0021022779112556123,0.010040160642570295
uci,mlp,focal_g5,-0.016074988147275704,-0.0612449799196787,-0.014047728799011283,-0.02208835341365467
uci,xgboost,plain,0.0,0.0,0.0,0.0
uci,xgboost,class_weight,0.0036872716707766484,-0.009036144578313254,0.00786713286713292,-0.002008032128514081
uci,xgboost,smote,0.008530272558505025,0.02409638554216864,0.009735927883679496,0.004016064257028162
ieee,logreg,plain,0.0,0.0,0.0,0.0
ieee,logreg,class_weight,-0.02305618702438883,0.021942562116811892,-0.018553492635303592,-0.03517263633430129
ieee,mlp,plain,0.0,0.0,0.0,0.0
ieee,mlp,class_weight,-0.03432864858554907,0.004840271055179035,-0.03473050039283676,-0.021297192642787954
ieee,mlp,smote,-0.006434494727383777,0.021297192642787954,-0.0008437000586679622,-0.0064536947402387135
ieee,mlp,focal_g1,-0.0017284768922588567,0.016134236850596895,0.003778830784429088,-0.008067118425298392
ieee,mlp,focal_g2,-0.0068341120540901246,0.0032268473701193567,-0.008423815274676283,-0.010003226847370095
ieee,mlp,focal_g5,-0.007940082642311608,-0.0200064536947403,-0.013431886607700005,-0.0070990642142626514
ieee,xgboost,plain,0.0,0.0,0.0,0.0
ieee,xgboost,class_weight,-0.011977535036070353,-0.014520813165537327,-0.019780138818876303,-0.0070990642142626514
ieee,xgboost,smote,-0.0109806404249575,0.01129396579541786,-0.010690942779085444,-0.010003226847370095
paysim,logreg,plain,0.0,0.0,0.0,0.0
paysim,logreg,class_weight,-0.08402555612439955,-0.023255813953488413,-0.08292416803055103,-0.06395348837209303
paysim,mlp,plain,0.0,0.0,0.0,0.0
paysim,mlp,class_weight,-0.12000906180056004,-0.06976744186046502,-0.10014124293785298,-0.13953488372093015
paysim,mlp,smote,0.05200314062372646,0.18023255813953498,0.08979229989868287,0.029069767441860517
paysim,mlp,focal_g1,-0.0158989399421694,-0.023255813953488302,-0.017018779342723,-0.023255813953488302
paysim,mlp,focal_g2,-0.021166647447436793,0.03488372093023262,-0.007352941176470451,-0.03488372093023251
paysim,mlp,focal_g5,-0.05527552000043334,-0.046511627906976716,-0.039893617021276584,-0.06395348837209303
paysim,xgboost,plain,0.0,0.0,0.0,0.0
paysim,xgboost,class_weight,-0.0006983134798608237,0.005813953488372214,0.003020034063174748,0.0
paysim,xgboost,smote,0.0014980514212263873,0.011627906976744207,0.006022250816242303,0.0
